# run: 30080755489
# verify: success
build-essential	12.10ubuntu1
ca-certificates	20260601~24.04.1
cmake	3.28.3-1build7
cnas	5.4.3-1.ubuntu22.04
cnbin	2.4.2-1.ubuntu22.04
cncc	5.4.3-1.ubuntu22.04
cncl	1.29.4-1.ubuntu22.04
cnclep	1.1.1-1.ubuntu22.04
cncodec3	2.4.1-1.ubuntu22.04
cndev	6.5.25-1.ubuntu22.04
cndev-compat	6.5.25-1.ubuntu22.04
cndrv	3.4.3-1.ubuntu22.04
cngdb	4.4.2-1.ubuntu22.04
cnjpeg	0.5.1-1.ubuntu22.04
cnlicense	1.2.0-1.ubuntu22.04
cnnl	2.1.829-0.rc0.ubuntu22.04
cnnlextra	2.2.7-1.ubuntu22.04
cnpapi	4.4.2-1.ubuntu22.04
cnpx	1.6.0-1.ubuntu22.04
cnrt	7.4.0-1.ubuntu22.04
cnrtc	0.7.4-1.ubuntu22.04
cnsanitizer	0.12.3-1.ubuntu22.04
cnstudio	1.2.1-1.ubuntu22.04
cntoolkit	4.4.3-1.ubuntu22.04
curl	8.5.0-2ubuntu10.11
g++	4:13.2.0-7ubuntu1
gcc	4:13.2.0-7ubuntu1
gdb	15.1-1ubuntu1~24.04.1
git	1:2.43.0-1ubuntu7.3
libc6-dev-i386	2.39-0ubuntu8.7
libncurses6	6.4+20240113-1ubuntu2.1
libtinfo6	6.4+20240113-1ubuntu2.1
make	4.3-4.1build2
mluops	1.8.1-1.ubuntu22.04
pciutils	1:3.10.0-2build1
unzip	6.0-28ubuntu4.1
vim	2:9.1.0016-1ubuntu7.18
